PLACA;MARCA;MODELO;UNIDADE;PROPRIETARIO;RESPONSAVEL;GERENTE;CNPJ PROPRIETARIO;TIPO PROPRIETARIO;SEGURO STATUS
GCV-0B29;M.BENZ;M.BENZ AXOR / 2036 LS;PRI PONTA GROSSA GARAGEM;V G DE SOUZA & CIA LTDA EPP;Aguinaldo Lopes Antonioli;Joel Schemuda;10.541.615/0001-89;Agente;Inativo
GCV-3B75;M.BENZ;M.BENZ / AXOR 2036 LS;PRI PONTA GROSSA GARAGEM;V G DE SOUZA & CIA LTDA EPP;Aguinaldo Lopes Antonioli;Joel Schemuda;10.541.615/0001-89;Agente;Inativo
LZK-4591;M.BENZ;M BENZ/ L1418 R;PRI PONTA GROSSA GARAGEM;J. OLIVO E OLIVO LTDA - ME;Aguinaldo Lopes Antonioli;Joel Schemuda;05.457.267/0001-26;Agente;Inativo
HWW-2503;FORD;FORD / CARGO 1517 E;PRI PONTA GROSSA GARAGEM;RAFAELA OLIVEIRA FRANCO TRANSPORTE EIREL;Aguinaldo Lopes Antonioli;Joel Schemuda;40.123.004/0001-81;Agente;Ativo
JYT-9J49;M.BENZ;M. BENZ / 1214;PRI PONTA GROSSA GARAGEM;LUCIANO CRIVELARO PERES;Aguinaldo Lopes Antonioli;Joel Schemuda;51.999.202/0001-20;Agente;Inativo
INP-7J34;VOLKSWAGEN;VW/13V180 CNM;PRI PONTA GROSSA GARAGEM;MARCOS ROBERTO DOMINGUES PINTO TRANSPORT;Aguinaldo Lopes Antonioli;Joel Schemuda;45.739.654/0001-70;Agente;Inativo
ATD-2943;M.BENZ;L 1620;PRI PONTA GROSSA GARAGEM;LAURINDO TRANSPORTES LTDA;Aguinaldo Lopes Antonioli;Joel Schemuda;09.394.615/0001-14;Agente;Inativo
BYD-2963;M.BENZ;L 1618;PRI PONTA GROSSA GARAGEM;LAURINDO TRANSPORTES LTDA;Aguinaldo Lopes Antonioli;Joel Schemuda;09.394.615/0001-14;Agente;Inativo
MEX-4010;M.BENZ;M.BENZ/ L 1418;PRI PONTA GROSSA GARAGEM;LAURINDO TRANSPORTES LTDA;Aguinaldo Lopes Antonioli;Joel Schemuda;09.394.615/0001-14;Agente;Inativo
ASC-2C15;M.BENZ;M.BENZ / ATEGO 2425;PRI PONTA GROSSA GARAGEM;RODOPAULO TRANSPORTES LTDA;Marcos Alexandre Alves;Ademir B. Queiroz;49.934.918/0001-05;Agente;Ativo
